Name,Status,Province,Population
Puyutira,Locality,Azangaro,216
Quejone,Locality,Huancané,217
Quelcaya,Locality,Carabaya,263
Quelcca Opojani,Locality,Puno,276
Quellahuco Pomaoca,Urban Locality,Moho,271
Quellamaya,Locality,Yunguyo,352
Quenafaja,Locality,Puno,258
Quetapalo,Urban Locality,Carabaya,418
Quety,Locality,Carabaya,203
Quiaca,Main Locality,Sandia,352
Quicho,Locality,Carabaya,969
Quilca,Locality,Chucuito,374
Quilcapuncu,Urban Main Locality,San Antonio de Putina,"2,335"
Quillisani,Locality,Lampa,322
Quinuapata Suyo,Locality,Puno,201
Quiquira,Locality,Sandia,312
Quiriquiri,Locality,Moho,212
Quishuara,Urban Locality,Melgar,724
Rinconada,Locality,Puno,290
Rinconada Cariguita,Locality,Azangaro,316
Ritty Kucho,Urban Locality,San Antonio de Putina,658
Rosaspata,Main Locality,Huancané,506
Sacari Achacuni,Locality,El Collao,242
Sacari Peñaloza,Locality,El Collao,311
Sacari Titicachi,Locality,El Collao,245
Sacasco II Sector,Locality,Huancané,509
Sacuyo,Locality,Puno,329
Sallacconi,Urban Locality,Carabaya,875
Samán,Main Locality,Azangaro,465
Samuchaca,Locality,Puno,244
San Antón,Urban Main Locality,Azangaro,"3,204"
San Bartolome,Locality,Azangaro,206
San Benigno,Locality,Sandia,212
San Carlos,Locality,Puno,247
San Cristobal,Locality,Puno,245
Sandia,Urban Main Locality,Sandia,"4,215"
San Francisco Buena Vista,Locality,San Román,255
San Gaban,Locality,Carabaya,271
San Ignacio (Sillacunca),Locality,Sandia,374
San Isidro,Locality,Azangaro,235
San José,Main Locality,Azangaro,"1,352"
San Jose de Cachipascana,Locality,Puno,247
San Jose de Pucani,Locality,Puno,205
San Jose Principio,Locality,Puno,550
San Juan de Cuturapi,Main Locality,Yunguyo,668
San Juan del Oro,Main Locality,Sandia,"1,671"
San Juan de Salinas,Main Locality,Azangaro,173
San Miguel,Urban Main Locality,San Román,"60,850"
San Miguel de Ollaraya,Main Locality,Yunguyo,425
San Pedro de Huayllata,Locality,El Collao,254
San Pedro de Pucarani,Locality,Azangaro,208
Santa Ana de Tarucani,Locality,San Antonio de Putina,273
Santa Cruz de Ayrihuas,Locality,Chucuito,270
Santa Cruz de Cajnajo,Locality,Chucuito,238
Santa Cruz de Mijani,Locality,San Antonio de Putina,237
Santa Lucía,Urban Main Locality,Lampa,"5,278"
Santa Maria,Locality,Puno,243
Santana,Locality,Sandia,205
Santa Rosa,Locality,Puno,245
Santa Rosa,Urban Main Locality,Melgar,"2,899"
Santa Rosa,Locality,Yunguyo,305
Santa Rosa de Huayllata,Locality,El Collao,337
Santa Teresa,Locality,Carabaya,614
Santiago,Locality,El Collao,207
Santiago Ajjatira,Locality,San Antonio de Putina,415
Santiago Bellavista,Locality,San Antonio de Putina,201
Santiago de Pupuja,Main Locality,Azangaro,171
Santiago Soraza,Locality,Puno,290
Santiago Thiri,Locality,El Collao,208
Saqueata Sacasco,Locality,Huancané,427
Sayaca,Locality,Sandia,218
Segundo Chacamarca,Locality,Azangaro,405
Sihuayro,Locality,Chucuito,233
Silarani,Locality,San Román,221
Sina,Main Locality,San Antonio de Putina,579
Siraya,Locality,El Collao,303
Sisipa,Locality,Chucuito,322
Socca,Locality,Puno,209
